url,type
http://50.115.172.193/sparc,500
http://123.9.235.43:56903/Mozi.m,500
http://104.168.213.6/Faith_Bins/Faithful.mips,500
http://50.115.172.193/i686,500
http://185.112.146.165/bin/bg_55dcf3886d7143dabd909d843e96562d.exe.upx.exe,500
http://107.158.154.88/bins/Hilix.arm5,500
http://134.209.81.2/EkSgbins.sh,500
http://111.43.223.125:53329/Mozi.m,500
http://51.255.170.237/Pandoras_Box/pandora.mips,500
http://23.94.104.26/i686,500
http://150.255.152.6:38042/Mozi.m,500
http://24.12.67.99:39528/.i,500
http://159.255.187.183:35397/Mozi.m,500
http://134.209.81.2/x86,500
http://50.115.172.193/armv6l,500
http://104.168.44.166/bins/dvrbot.arm,500
http://185.112.146.165/bin/bg_937a8ac2364b43df9e090625c21263cd.exe.dom_1.exe,500
http://172.36.42.15:59813/Mozi.m,500
http://182.113.34.167:41019/Mozi.m,500
http://23.238.204.36/i686,500
http://50.115.172.193/i586,500
http://45.148.10.83/sensi.sh,500
http://50.115.172.193/armv7l,500
http://23.254.227.63/0xxx0xxxasdajshdsajhkgdja/Sa0aS.x86,500
http://172.36.51.43:60664/Mozi.m,500
http://31.146.124.95:36265/Mozi.m,500
http://45.154.1.58/bins/Gummy.mips,500
http://104.168.44.166/bins/dvrbot.arc,500
http://42.234.203.56:34244/Mozi.m,500
http://104.168.213.6/Faith_Bins/Faithful.m68k,500
http://185.112.146.165/bin/bg_81ca3ee6fd1c40d687a8b65827f748cf.exe.dom_2.exe,500
http://183.215.188.50:59458/Mozi.m,500
http://104.168.165.199/whoareyou.x86,500
http://114.239.242.70:48621/Mozi.m,500
http://185.112.146.165/bin/bg_937a8ac2364b43df9e090625c21263cd.exe,500
http://51.255.170.237/Pandoras_Box/pandora.mpsl,500
http://45.148.10.83/fadsfads/xd.sh4,500
http://124.119.139.37:57408/Mozi.m,500
http://37.49.226.127/bins/kawaii.mips,500
http://222.142.194.124:43170/Mozi.m,500
http://37.49.226.192/bins/malware.spc,500
http://159.255.187.47:59732/Mozi.m,500
http://178.62.10.194/beastmode/b3astmode.x86,500
http://216.180.117.242:37298/Mozi.m,500
http://185.112.146.165/bin/bg_81ca3ee6fd1c40d687a8b65827f748cf.exe.upx.exe,500
http://45.148.10.83/fadsfads/xd.ppc,500
http://37.49.226.230/AB4g5/kiga.mips,500
http://50.115.172.193/x86,500
http://180.104.214.33:52200/Mozi.m,500
http://37.49.226.142/bins/asdfghjkl.ppc,500
https://02.27.27.111.themonitorguy.com/,500
http://111.42.103.78:47296/Mozi.m,500
http://139.59.201.27/banks/National/98e8eaceadbad3aa9ee97edf8582f54c/,500
http://116.149.240.73:56320/Mozi.m,500
http://111.43.223.190:53663/Mozi.m,500
http://37.49.226.142/bins/asdfghjkl.x86,500
http://147.75.67.253/bins/arm6,500
http://111.42.102.147:36933/Mozi.m,500
http://45.161.254.178:46240/Mozi.m,500
http://147.75.67.253/bins/arm5,500
http://151.0.144.162:14035/.i,500
http://111.42.102.145:43096/Mozi.m,500
http://106.110.123.168:46241/Mozi.m,500
http://172.45.28.36:55258/Mozi.m,500
http://125.45.175.118:43970/Mozi.m,500
http://51.255.170.237/Pandoras_Box/pandora.ppc,500
http://98.153.220.110:59702/.i,500
http://123.10.176.253:46436/Mozi.m,500
http://2.180.33.118:7438/.i,500
http://172.39.66.189:57709/Mozi.m,500
http://94.177.232.252/W8A82JS8GYN2020/Smart-TVLED32HD/SmartTVLED32HDD/confirmacao.php,500
http://ingridbgarcia.com/https/45.40.125.782719/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,500
http://115.49.78.31:47534/Mozi.m,500
http://45.148.10.142/a-r.m-7.SNOOPY,500
http://134.209.81.2/armv5l,500
http://125.45.123.104:54833/Mozi.m,500
http://125.45.52.161:59828/Mozi.m,500
http://111.42.102.171:45563/Mozi.m,500
http://162.212.115.49:59683/Mozi.m,500
http://50.115.172.193/mipsel,500
http://23.94.104.26/arm4,500
http://ingridbgarcia.com/https/52.44.111.2237130/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,500
http://60.177.52.11:55276/Mozi.m,500
http://37.49.226.142/bins/asdfghjkl.arm6,500
http://134.209.81.2/mips,500
http://116.114.95.86:34216/Mozi.m,500
http://45.148.10.142/a-r.m-5.SNOOPY,500
http://50.115.172.193/sh4,500
http://182.117.224.151:39615/Mozi.m,500
http://104.168.165.199/ABCDEFGHIJKLMNOPQRSTUVWXYZ/whoareyou.arm6,500
http://ingridbgarcia.com/https/38.145.93.79722/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,500
http://112.123.61.204:47214/Mozi.m,500
http://162.212.113.14:41911/Mozi.m,500
